"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",13.63,0.03,13.67,35384,13.96,0.02,14.00,35384,13.66,0.04,13.70,35384
"assert",0.61,0.00,0.61,5952,0.64,0.00,0.64,5952,0.64,0.00,0.64,5952
"common",1.00,0.00,1.00,6008,1.04,0.00,1.04,6008,1.04,0.00,1.04,6008
"coroutine",13.83,0.04,13.88,35132,13.96,0.04,14.02,35132,13.85,0.02,13.88,35132
"debug",1.90,0.00,1.90,6388,1.97,0.00,1.98,6388,1.95,0.00,1.96,6388
"fstream",2.47,0.00,2.48,6604,2.50,0.00,2.50,6604,2.49,0.00,2.49,6604
"interpose",6.61,0.00,6.62,7088,6.56,0.00,6.56,7088,6.76,0.00,6.76,7088
"iterator",0.21,0.00,0.22,5864,0.21,0.00,0.21,5864,0.20,0.00,0.21,5864
"limits",1.01,0.00,1.01,6352,1.00,0.00,1.00,6352,1.04,0.00,1.04,6352
"maybe",0.50,0.00,0.50,7216,0.52,0.00,0.52,7216,0.52,0.00,0.52,7216
"monitor",16.05,0.03,16.10,34876,15.98,0.02,16.02,34876,16.05,0.02,16.08,34876
"mutex",15.11,0.02,15.14,35404,15.24,0.03,15.28,35268,15.28,0.02,15.32,35276
"pair",0.53,0.01,0.54,7940,0.57,0.00,0.57,7940,0.56,0.00,0.56,7940
"preemption",25.00,0.02,25.03,38012,25.30,0.03,25.34,38012,25.04,0.03,25.08,38012
"rational",8.50,0.06,8.58,75832,8.51,0.05,8.57,75832,8.57,0.06,8.64,75832
"result",0.88,0.00,0.89,10020,0.86,0.00,0.87,10020,0.90,0.00,0.90,10020
"startup",0.28,0.00,0.28,6020,0.26,0.00,0.27,6020,0.27,0.00,0.27,6020
"stdlib",3.80,0.04,3.85,33592,3.73,0.03,3.76,33592,3.78,0.01,3.80,33592
"thread",13.94,0.02,13.97,34920,13.80,0.03,13.84,34920,13.83,0.04,13.88,34920
"vector",4.37,0.02,4.39,42624,4.33,0.03,4.36,42624,4.34,0.04,4.39,42624
