"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",1.16,0.00,1.17,6432,1.15,0.00,1.15,6432,1.18,0.00,1.18,6432
"assert",0.06,0.00,0.07,4632,0.07,0.00,0.07,4632,0.06,0.00,0.06,4632
"common",0.10,0.00,0.10,4716,0.10,0.00,0.10,4716,0.11,0.00,0.11,4716
"coroutine",1.24,0.00,1.24,6804,1.15,0.00,1.15,6804,1.18,0.00,1.19,6804
"debug",0.24,0.00,0.25,5212,0.21,0.00,0.21,5212,0.24,0.00,0.25,5212
"fstream",0.29,0.00,0.29,5304,0.31,0.00,0.31,5304,0.33,0.00,0.33,5304
"heap",0.76,0.00,0.76,7044,0.81,0.00,0.82,7044,0.80,0.00,0.80,7044
"interpose",0.91,0.00,0.91,5908,0.81,0.00,0.81,5908,0.82,0.00,0.82,5908
"iostream",0.10,0.00,0.10,5524,0.11,0.00,0.11,5524,0.11,0.00,0.11,5524
"iterator",0.02,0.00,0.02,4508,0.02,0.00,0.02,4508,0.02,0.00,0.02,4508
"kernel",3.04,0.00,3.04,7636,2.92,0.00,2.92,7632,2.67,0.00,2.67,7636
"limits",0.12,0.00,0.12,4932,0.12,0.00,0.12,4932,0.13,0.00,0.13,4932
"maybe",0.04,0.00,0.04,4528,0.03,0.00,0.03,4528,0.04,0.00,0.04,4528
"monitor",1.34,0.00,1.34,7300,1.36,0.00,1.37,7300,1.35,0.00,1.36,7300
"mutex",1.19,0.00,1.19,7040,1.21,0.00,1.21,7040,1.20,0.00,1.21,7040
"pair",0.02,0.00,0.03,4540,0.02,0.00,0.03,4540,0.02,0.00,0.03,4540
"preemption",2.26,0.00,2.26,7380,2.30,0.00,2.30,7380,2.27,0.00,2.27,7380
"rational",1.41,0.03,1.45,8132,1.39,0.02,1.42,8132,1.39,0.01,1.40,8132
"result",0.06,0.00,0.06,4640,0.05,0.00,0.05,4640,0.05,0.00,0.05,4640
"startup",0.02,0.00,0.03,4664,0.02,0.00,0.03,4664,0.02,0.00,0.03,4664
"stdlib",0.49,0.00,0.49,5824,0.45,0.00,0.45,5824,0.49,0.00,0.49,5824
"thread",1.16,0.00,1.17,6432,1.24,0.00,1.24,6432,1.34,0.00,1.35,6428
"time",0.29,0.00,0.29,6180,0.27,0.00,0.27,6180,0.27,0.00,0.28,6180
"vector",2.14,0.02,2.17,55456,2.20,0.02,2.23,55388,2.19,0.03,2.23,55392
