"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",2.22,0.06,2.28,11704,2.20,0.05,2.26,11704,2.17,0.07,2.25,11704
"assert",0.12,0.00,0.12,6068,0.12,0.00,0.12,6068,0.11,0.00,0.12,6068
"common",0.18,0.00,0.19,6468,0.18,0.00,0.18,6468,0.17,0.00,0.18,6468
"coroutine",2.26,0.04,2.31,12744,2.24,0.04,2.28,12744,2.26,0.04,2.30,12744
"debug",0.39,0.00,0.39,7252,0.39,0.00,0.39,7252,0.38,0.00,0.39,7252
"fstream",0.52,0.00,0.52,7660,0.52,0.00,0.52,7660,0.52,0.00,0.52,7660
"heap",1.40,0.00,1.40,13528,1.39,0.00,1.40,13528,1.39,0.01,1.40,13528
"interpose",1.58,0.08,1.67,9360,1.60,0.05,1.66,9360,1.57,0.08,1.66,9360
"iostream",0.16,0.00,0.16,6660,0.16,0.00,0.16,6660,0.16,0.00,0.17,6660
"iterator",0.03,0.00,0.03,5632,0.03,0.00,0.03,5632,0.03,0.00,0.03,5632
"kernel",5.32,0.27,5.61,14872,5.41,0.24,5.66,14872,5.37,0.22,5.59,14872
"limits",0.22,0.00,0.22,5900,0.22,0.00,0.22,5900,0.21,0.00,0.21,5900
"maybe",0.04,0.00,0.05,5616,0.04,0.00,0.05,5616,0.05,0.00,0.05,5616
"monitor",2.62,0.10,2.73,12356,2.61,0.10,2.72,12356,2.66,0.09,2.75,12356
"mutex",2.28,0.06,2.34,13068,2.34,0.03,2.38,13068,2.28,0.06,2.34,13068
"pair",0.04,0.00,0.04,5616,0.04,0.00,0.04,5616,0.04,0.00,0.04,5616
"preemption",4.41,0.18,4.60,13088,4.44,0.18,4.63,13088,4.42,0.17,4.60,13088
"rational",1.04,0.01,1.06,13732,1.05,0.00,1.06,13732,1.05,0.00,1.06,13732
"result",0.05,0.00,0.06,5680,0.05,0.00,0.06,5680,0.06,0.00,0.06,5680
"startup",0.04,0.00,0.04,5736,0.04,0.00,0.04,5736,0.04,0.00,0.04,5736
"stdlib",0.79,0.00,0.80,8312,0.83,0.00,0.83,8312,0.80,0.00,0.81,8312
"thread",2.25,0.08,2.33,12528,2.26,0.06,2.32,12528,2.27,0.04,2.31,12528
"time",0.46,0.00,0.47,12108,0.45,0.01,0.47,12108,0.46,0.00,0.47,12108
"vector",0.58,0.02,0.61,52192,0.59,0.02,0.61,52192,0.58,0.03,0.61,52192
