"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",0.79,0.00,0.79,6956,0.79,0.00,0.79,6952,0.79,0.00,0.79,6956
"assert",0.04,0.00,0.05,4724,0.05,0.00,0.05,4724,0.05,0.00,0.05,4724
"common",0.07,0.00,0.07,4836,0.07,0.00,0.07,4836,0.07,0.00,0.07,4836
"coroutine",0.81,0.00,0.81,6976,0.80,0.00,0.80,6976,0.80,0.00,0.80,6976
"debug",0.15,0.00,0.15,5384,0.14,0.00,0.15,5384,0.14,0.00,0.15,5384
"fstream",0.20,0.00,0.20,5672,0.20,0.00,0.20,5672,0.19,0.00,0.20,5672
"heap",0.50,0.00,0.51,6556,0.54,0.00,0.54,6556,0.50,0.00,0.51,6556
"interpose",0.56,0.00,0.57,6352,0.56,0.00,0.56,6352,0.57,0.00,0.57,6352
"iostream",0.07,0.00,0.07,5596,0.07,0.00,0.07,5596,0.07,0.00,0.07,5596
"iterator",0.01,0.00,0.01,4492,0.00,0.00,0.01,4492,0.01,0.00,0.01,4492
"kernel",1.87,0.00,1.88,8372,1.94,0.00,1.95,8372,1.91,0.00,1.91,8372
"limits",0.08,0.00,0.09,4972,0.08,0.00,0.09,4972,0.09,0.00,0.09,4972
"maybe",0.02,0.00,0.02,4564,0.02,0.00,0.02,4564,0.02,0.00,0.02,4564
"monitor",0.95,0.01,0.96,7864,0.96,0.00,0.97,7864,0.97,0.00,0.97,7864
"mutex",0.86,0.00,0.86,7268,0.86,0.00,0.86,7268,0.84,0.02,0.87,7268
"pair",0.02,0.00,0.02,4520,0.02,0.00,0.02,4520,0.02,0.00,0.02,4520
"preemption",1.61,0.00,1.61,7956,1.60,0.00,1.61,7956,1.61,0.00,1.61,7956
"rational",0.88,0.00,0.89,8588,0.89,0.00,0.89,8588,0.89,0.00,0.89,8588
"result",0.03,0.00,0.03,4724,0.03,0.00,0.03,4724,0.03,0.00,0.03,4724
"startup",0.02,0.00,0.02,4648,0.02,0.00,0.02,4648,0.02,0.00,0.02,4648
"stdlib",0.30,0.00,0.30,6020,0.30,0.00,0.30,6020,0.29,0.00,0.30,6020
"thread",0.84,0.00,0.84,6672,0.82,0.01,0.84,6672,0.83,0.00,0.83,6672
"time",0.20,0.00,0.20,8652,0.20,0.00,0.21,8652,0.20,0.00,0.21,8652
"vector",0.32,0.00,0.33,18424,0.32,0.00,0.33,18424,0.30,0.02,0.33,18424
